,Gender,Year,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Geography
0,Male,2017,Retail salespersons,47846.3525181909,3804.6631217668096,105135,7920.181696868456,Texas
1,Female,2017,Retail salespersons,30004.73067722024,2799.4237957453834,67718,6368.011330627486,Texas
2,Female,2017,Driver/sales workers & truck drivers,35748.79389312977,4667.189877891863,16768,3176.610042045723,Texas
3,Female,2017,Miscellaneous managers,76689.72607431165,4527.145063615118,110373,8113.010681395934,Texas
4,Female,2017,Elementary & middle school teachers,47260.80878137025,923.5894243243173,260916,12381.98684806443,Texas
5,Male,2017,Cashiers,24058.87986124285,2577.446576631926,36899,4707.689772228037,Texas
6,Male,2017,Driver/sales workers & truck drivers,48943.78492493007,2126.7675572257,268483,12555.549846313479,Texas
7,Male,2017,Miscellaneous managers,114332.822953677,5423.644982488763,223755,11487.441585861156,Texas
8,Male,2017,Elementary & middle school teachers,51282.940921987814,2241.2712880984955,71194,6528.3009652634,Texas
9,Female,2017,Cashiers,20901.750238162538,1447.6882281352705,95523,7552.9872367702055,Texas
10,Male,2016,Cashiers,29739.17642964853,6623.901763001034,34484,4551.362218433546,Texas
11,Male,2016,Driver/sales workers & truck drivers,45752.4854675909,1406.731292912745,263136,12429.004703461034,Texas
12,Male,2016,Miscellaneous managers,111208.64351739916,5227.555944922792,215068,11263.981127815745,Texas
13,Male,2016,Elementary & middle school teachers,50248.15220783487,1576.3041264491778,73058,6612.006185686779,Texas
14,Female,2016,Retail salespersons,30191.930884553487,2928.933623485152,70838,6511.492539110156,Texas
15,Female,2016,Cashiers,21198.357119433986,1562.5283954591737,100633,7749.469444838804,Texas
16,Female,2016,Driver/sales workers & truck drivers,37883.56997525433,9739.536935964421,14548,2959.1270156186797,Texas
17,Female,2016,Miscellaneous managers,82030.56941577759,5046.906012550067,103197,7846.5662549469,Texas
18,Female,2016,Elementary & middle school teachers,45778.906309050726,884.9644718460414,261957,12401.871560666843,Texas
19,Male,2016,Retail salespersons,50456.488662954886,4288.531662581801,99144,7692.496195523416,Texas
20,Female,2015,Retail salespersons,31821.094198394538,2656.230526926376,75617,6725.656189969585,Texas
21,Female,2015,Driver/sales workers & truck drivers,30071.158095844614,4562.684702889536,12562,2749.988902405437,Texas
22,Female,2015,Miscellaneous managers,79034.09948029403,6008.1069242652775,91013,7372.9146009512315,Texas
23,Female,2015,Elementary & middle school teachers,45088.6715281256,897.2494518687662,253559,12204.835296766474,Texas
24,Male,2015,Elementary & middle school teachers,48856.08391045007,2056.618371672851,64545,6217.253824228194,Texas
25,Male,2015,Retail salespersons,47387.981533925595,3973.873818100651,103108,7842.7469261732285,Texas
26,Male,2015,Cashiers,24560.42876386461,3172.2043632356904,34891,4577.957639052868,Texas
27,Male,2015,Driver/sales workers & truck drivers,45211.76939635142,1506.1626207731324,268981,12560.560066730666,Texas
28,Male,2015,Miscellaneous managers,114515.00352496315,5363.946826937307,218442,11348.598457693452,Texas
29,Female,2015,Cashiers,19835.31898221804,1414.6591267820866,92397,7428.242333129209,Texas
30,Female,2014,Miscellaneous managers,75152.94925636325,5136.512040744574,86198,7176.056001107426,Texas
31,Female,2014,Driver/sales workers & truck drivers,33927.08966903583,5347.341983312213,13929,2895.4949010867244,Texas
32,Female,2014,Cashiers,18272.898730499084,1097.9190821944342,99803,7716.167159872542,Texas
33,Female,2014,Retail salespersons,29981.586597289726,3117.1977967470843,69956,6470.176329162177,Texas
34,Male,2014,Retail salespersons,43182.289717127416,3657.2093960417615,93505,7471.186877197177,Texas
35,Male,2014,Elementary & middle school teachers,51269.82818521373,2162.5877670334207,67468,6354.898565834952,Texas
36,Male,2014,Driver/sales workers & truck drivers,44914.53660360893,1597.103816517733,256696,12273.337880737605,Texas
37,Male,2014,Cashiers,21752.759078658557,2639.5652006417395,35991,4649.056467735453,Texas
38,Male,2014,Miscellaneous managers,109048.86621797144,4731.7475124353605,203256,10952.158643568197,Texas
39,Female,2014,Elementary & middle school teachers,44767.901585048494,725.6078511433485,253620,12201.566229456128,Texas
